City,Date,AQI,AQI_Bucket
Kochi,2020-07-04,104,Moderate
Kochi,2020-07-05,106,Moderate
Kochi,2020-07-06,105,Moderate
Kochi,2020-07-07,106,Moderate
Kochi,2020-07-08,106,Moderate
Kochi,2020-07-09,102,Moderate
Kochi,2020-07-10,104,Moderate
Kochi,2020-07-11,103,Moderate
Kochi,2020-07-12,104,Moderate
Kochi,2020-07-13,101,Moderate
Kochi,2020-07-14,102,Moderate
Kochi,2020-07-15,103,Moderate
Aizawl,2020-07-02,20,Good
Aizawl,2020-07-03,22,Good
Aizawl,2020-07-04,22,Good
Aizawl,2020-07-05,23,Good
Aizawl,2020-07-06,23,Good
Aizawl,2020-07-07,22,Good
Aizawl,2020-07-08,22,Good
Aizawl,2020-07-09,21,Good
Aizawl,2020-07-10,20,Good
Aizawl,2020-07-11,19,Good
Aizawl,2020-07-12,19,Good
Aizawl,2020-07-13,20,Good
Aizawl,2020-07-14,20,Good
Aizawl,2020-07-15,20,Good
